i,j,Lookup,AccountID,Month,AssetClass,Stage Mapper,Stage,Exposure,ECL,PD,LGD
36,36,1,MB36,201709,MRTG,0.521946391,Stage 1,705446,4605,0.096,0.07
37,37,1,MB37,201709,MRTG,0.7659292451,Stage 1,703007,28513,0.098,0.41
38,38,1,MB38,201709,MRTG,0.5080674581,Stage 1,1093107,9595,0.135,0.06
39,39,1,MB39,201709,MRTG,0.6683044243,Stage 1,521920,10307,0.107,0.18
40,40,1,MB40,201709,MRTG,0.1530446998,Stage 1,715592,11441,0.118,0.14
41,41,1,MB41,201709,MRTG,0.890147458,Stage 2,692837,86463,0.383,0.33
42,42,1,MB42,201709,MRTG,0.6371795284,Stage 1,957873,5504,0.055,0.10
43,43,1,MB43,201709,MRTG,0.34352186,Stage 1,517019,31978,0.174,0.35
44,44,1,MB44,201709,MRTG,0.1587290962,Stage 1,654338,1254,0.096,0.02
45,45,1,MB45,201709,MRTG,0.2343183013,Stage 1,1052260,107,0.000,0.22
46,46,1,MB46,201709,MRTG,0.2888208156,Stage 1,704483,36764,0.178,0.29
47,47,1,MB47,201709,MRTG,0.8840918258,Stage 2,1395211,135252,0.208,0.47
48,48,1,MB48,201709,MRTG,0.501760491,Stage 1,945900,37888,0.106,0.38
49,49,1,MB49,201709,MRTG,0.06958327895,Stage 1,1058427,831,0.002,0.39
50,50,1,MB50,201709,MRTG,0.1772621903,Stage 1,561007,11210,0.097,0.21
51,51,1,MB51,201709,MRTG,0.6273137895,Stage 1,568081,41596,0.158,0.46
52,52,1,MB52,201709,MRTG,0.3664929655,Stage 1,1133847,54264,0.107,0.45
53,53,1,MB53,201709,MRTG,0.7187473754,Stage 1,846014,4096,0.015,0.32
54,54,1,MB54,201709,MRTG,0.8153066427,Stage 2,1071595,192915,0.418,0.43
55,55,1,MB55,201709,MRTG,0.0980224052,Stage 1,1411795,26844,0.064,0.30
56,56,1,MB56,201709,MRTG,0.1778640311,Stage 1,955270,68867,0.162,0.45
57,57,1,MB57,201709,MRTG,0.8529500489,Stage 2,1228929,11424,0.142,0.07
58,58,1,MB58,201709,MRTG,0.3298535755,Stage 1,619254,25221,0.173,0.24
59,59,1,MB59,201709,MRTG,0.1752771811,Stage 1,672106,19447,0.122,0.24
60,60,1,MB60,201709,MRTG,0.01621424306,Stage 1,1404105,76088,0.151,0.36
61,61,1,MB61,201709,MRTG,0.673156169,Stage 1,672964,5470,0.054,0.15
62,62,1,MB62,201709,MRTG,0.3227218351,Stage 1,1246791,4815,0.053,0.07
63,63,1,MB63,201709,MRTG,0.8730129139,Stage 2,1439305,29540,0.240,0.09
64,64,1,MB64,201709,MRTG,0.2387573679,Stage 1,622546,2715,0.067,0.07
65,65,1,MB65,201709,MRTG,0.8158528949,Stage 2,1081800,16210,0.515,0.03
66,66,1,MB66,201709,MRTG,0.7403847471,Stage 1,1029336,75540,0.160,0.46
67,67,1,MB67,201709,MRTG,0.8714009458,Stage 2,1133276,132800,0.548,0.21
68,68,1,MB68,201709,MRTG,0.7444994571,Stage 1,796337,49110,0.131,0.47
69,69,1,MB69,201709,MRTG,0.04987758461,Stage 1,934698,5933,0.030,0.21
70,70,1,MB70,201709,MRTG,0.1078723445,Stage 1,729469,4710,0.133,0.05
71,71,1,MB71,201709,MRTG,0.553834104,Stage 1,580525,29426,0.122,0.42
72,72,1,MB72,201709,MRTG,0.726631443,Stage 1,1097918,50221,0.096,0.48
73,73,1,MB73,201709,MRTG,0.09009094431,Stage 1,971492,25843,0.094,0.28
74,74,1,MB74,201709,MRTG,0.1549474472,Stage 1,974692,6437,0.043,0.15
75,75,1,MB75,201709,MRTG,0.4538628263,Stage 1,1187813,39933,0.194,0.17
76,76,1,MB76,201709,MRTG,0.944896407,Stage 2,1120828,4144,0.018,0.20
77,77,1,MB77,201709,MRTG,0.1436481396,Stage 1,1058927,70227,0.141,0.47
78,78,1,MB78,201709,MRTG,0.8167641222,Stage 2,737092,16420,0.089,0.25
79,79,1,MB79,201709,MRTG,0.6970739722,Stage 1,1421187,75418,0.113,0.47
80,80,1,MB80,201709,MRTG,0.5201593089,Stage 1,1179413,18743,0.056,0.28
81,81,1,MB81,201709,MRTG,0.1259110017,Stage 1,1092134,23300,0.077,0.28
82,82,1,MB82,201709,MRTG,0.8265677804,Stage 2,1466288,3148,0.156,0.01
83,83,1,MB83,201709,MRTG,0.2348178789,Stage 1,1284520,35653,0.060,0.46
84,84,1,MB84,201709,MRTG,0.004383623494,Stage 1,1309800,508,0.071,0.01
85,85,1,MB85,201709,MRTG,0.8355815269,Stage 2,786026,61816,0.181,0.44
86,86,1,MB86,201709,MRTG,0.634598935,Stage 1,829288,21087,0.108,0.24
87,87,1,MB87,201709,MRTG,0.4098531523,Stage 1,1258293,7840,0.019,0.33
88,88,1,MB88,201709,MRTG,0.01144557521,Stage 1,801276,8218,0.177,0.06
89,89,1,MB89,201709,MRTG,0.7624279151,Stage 1,993588,118,0.024,0.00
90,90,1,MB90,201709,MRTG,0.185213023,Stage 1,644732,9780,0.032,0.48
91,91,1,MB91,201709,MRTG,0.6683927428,Stage 1,1207180,12414,0.026,0.39
92,92,1,MB92,201709,MRTG,0.007693900097,Stage 1,611626,3592,0.036,0.17
93,93,1,MB93,201709,MRTG,0.6160121289,Stage 1,751534,2246,0.052,0.06
94,94,1,MB94,201709,MRTG,0.1633311505,Stage 1,1263942,44519,0.164,0.21
95,95,1,MB95,201709,MRTG,0.0386992905,Stage 1,1094132,1649,0.030,0.05
96,96,1,MB96,201709,MRTG,0.9558884669,Stage 3,1075622,385929,1.000,0.36
97,97,1,MB97,201709,MRTG,0.1101175371,Stage 1,598551,21505,0.179,0.20
98,98,1,MB98,201709,MRTG,0.6816875542,Stage 1,1347581,48737,0.195,0.19
99,99,1,MB99,201709,MRTG,0.3332913609,Stage 1,948970,5200,0.082,0.07
100,100,1,MB100,201709,MRTG,0.3821290337,Stage 1,902793,6929,0.034,0.23
101,6,2,MB6,201710,MRTG,0.01511420582,Stage 1,837261,2817,0.081,0.04
102,7,2,MB7,201710,MRTG,0.02194175347,Stage 1,714195,14170,0.115,0.17
103,8,2,MB8,201710,MRTG,0.8999861517,Stage 2,1431132,107723,0.189,0.40
104,9,2,MB9,201710,MRTG,0.09261087981,Stage 1,578786,28350,0.116,0.42
105,10,2,MB10,201710,MRTG,0.9992886688,Stage 3,1318348,488564,1.000,0.37
106,11,2,MB11,201710,MRTG,0.9655741393,Stage 3,695747,252684,1.000,0.36
107,12,2,MB12,201710,MRTG,0.1464191626,Stage 1,1499044,32635,0.109,0.20
108,13,2,MB13,201710,MRTG,0.2055211258,Stage 1,933982,24155,0.059,0.44
109,14,2,MB14,201710,MRTG,0.3202032886,Stage 1,1013679,69521,0.165,0.42
110,15,2,MB15,201710,MRTG,0.4545861125,Stage 1,1225250,1000,0.057,0.01
111,16,2,MB16,201710,MRTG,0.9933440281,Stage 3,1152711,451643,1.000,0.39
112,17,2,MB17,201710,MRTG,0.3831163031,Stage 1,823767,30744,0.078,0.48
113,18,2,MB18,201710,MRTG,0.9984405394,Stage 3,1115070,2042,1.000,0.00
114,19,2,MB19,201710,MRTG,0.8073769421,Stage 2,702929,19732,0.272,0.10
115,20,2,MB20,201710,MRTG,0.8739312905,Stage 2,951445,152,0.003,0.05
116,21,2,MB21,201710,MRTG,0.1499973509,Stage 1,576720,9701,0.091,0.19
117,22,2,MB22,201710,MRTG,0.7086258194,Stage 1,646231,29286,0.166,0.27
118,23,2,MB23,201710,MRTG,0.4817712455,Stage 1,539880,6038,0.048,0.23
119,24,2,MB24,201710,MRTG,0.8894475654,Stage 2,1025289,17374,0.056,0.30
120,25,2,MB25,201710,MRTG,0.9658263146,Stage 3,1110172,206875,1.000,0.19
121,26,2,MB26,201710,MRTG,0.2564113676,Stage 1,607728,55891,0.200,0.46
122,27,2,MB27,201710,MRTG,0.4250224134,Stage 1,1161940,3574,0.043,0.07
123,28,2,MB28,201710,MRTG,0.2561115475,Stage 1,596498,12884,0.111,0.19
124,29,2,MB29,201710,MRTG,0.2842039986,Stage 1,1386981,114616,0.176,0.47
125,30,2,MB30,201710,MRTG,0.1751436951,Stage 1,1488234,64443,0.200,0.22
126,31,2,MB31,201710,MRTG,0.3797193047,Stage 1,1171577,1603,0.007,0.21
127,32,2,MB32,201710,MRTG,0.2335872121,Stage 1,606601,6446,0.022,0.49
128,33,2,MB33,201710,MRTG,0.1741555101,Stage 1,1193071,76460,0.185,0.35
129,34,2,MB34,201710,MRTG,0.6722250729,Stage 1,570062,17616,0.180,0.17
130,35,2,MB35,201710,MRTG,0.1248743528,Stage 1,1311874,59273,0.127,0.36
131,36,2,MB36,201710,MRTG,0.3124879801,Stage 1,904842,6513,0.045,0.16
132,37,2,MB37,201710,MRTG,0.2066465394,Stage 1,1052142,15250,0.072,0.20
133,38,2,MB38,201710,MRTG,0.8827194218,Stage 2,833011,36563,0.209,0.21
134,39,2,MB39,201710,MRTG,0.5230733946,Stage 1,854201,22072,0.059,0.43
135,40,2,MB40,201710,MRTG,0.5564307723,Stage 1,595487,31271,0.107,0.49
136,41,2,MB41,201710,MRTG,0.2157803573,Stage 1,1462171,58802,0.177,0.23
137,42,2,MB42,201710,MRTG,0.146541658,Stage 1,1417671,35639,0.077,0.33
138,43,2,MB43,201710,MRTG,0.4174192804,Stage 1,1039997,25742,0.099,0.25
139,44,2,MB44,201710,MRTG,0.6435917968,Stage 1,564257,2192,0.016,0.25
140,45,2,MB45,201710,MRTG,0.2328013199,Stage 1,537715,2711,0.042,0.12
141,46,2,MB46,201710,MRTG,0.8156084996,Stage 2,547936,23899,0.392,0.11
142,47,2,MB47,201710,MRTG,0.8761016755,Stage 2,1247086,51223,0.086,0.47
143,48,2,MB48,201710,MRTG,0.333380992,Stage 1,908301,12489,0.032,0.44
144,49,2,MB49,201710,MRTG,0.360758126,Stage 1,572698,18801,0.098,0.34
145,50,2,MB50,201710,MRTG,0.918618162,Stage 2,532115,48566,0.190,0.48
146,51,2,MB51,201710,MRTG,0.01777875392,Stage 1,622270,35158,0.130,0.43
147,52,2,MB52,201710,MRTG,0.7957653078,Stage 1,979448,45499,0.134,0.35
148,53,2,MB53,201710,MRTG,0.6086557481,Stage 1,1000255,31499,0.098,0.32
149,54,2,MB54,201710,MRTG,0.8636651983,Stage 2,963016,53112,0.172,0.32
150,55,2,MB55,201710,MRTG,0.667556515,Stage 1,1024463,5810,0.023,0.25
151,56,2,MB56,201710,MRTG,0.4839356062,Stage 1,1017095,6828,0.103,0.07
152,57,2,MB57,201710,MRTG,0.7361522135,Stage 1,719425,7311,0.046,0.22
153,58,2,MB58,201710,MRTG,0.2426858159,Stage 1,519659,393,0.105,0.01
154,59,2,MB59,201710,MRTG,0.391204177,Stage 1,1256415,17536,0.134,0.10
155,60,2,MB60,201710,MRTG,0.005425665076,Stage 1,894925,13006,0.031,0.46
156,61,2,MB61,201710,MRTG,0.9733327165,Stage 3,782835,307,1.000,0.00
157,62,2,MB62,201710,MRTG,0.7167679948,Stage 1,836686,5922,0.078,0.09
158,63,2,MB63,201710,MRTG,0.03434454359,Stage 1,728143,3595,0.029,0.17
159,64,2,MB64,201710,MRTG,0.7524561886,Stage 1,1334753,21172,0.188,0.08
160,65,2,MB65,201710,MRTG,0.0748199056,Stage 1,995218,26798,0.059,0.46
161,66,2,MB66,201710,MRTG,0.9076501876,Stage 2,752292,14423,0.309,0.06
162,67,2,MB67,201710,MRTG,0.7537111445,Stage 1,891431,9107,0.045,0.23
163,68,2,MB68,201710,MRTG,0.8891903362,Stage 2,1051165,164106,0.532,0.29
164,69,2,MB69,201710,MRTG,0.5434560281,Stage 1,1059526,4842,0.041,0.11
165,70,2,MB70,201710,MRTG,0.1982707651,Stage 1,871485,2502,0.016,0.18
166,71,2,MB71,201710,MRTG,0.6691640398,Stage 1,1012345,31124,0.062,0.50
167,72,2,MB72,201710,MRTG,0.661751864,Stage 1,682199,44474,0.175,0.37
168,73,2,MB73,201710,MRTG,0.01601922651,Stage 1,525529,1371,0.045,0.06
169,74,2,MB74,201710,MRTG,0.3540201505,Stage 1,788695,29244,0.152,0.24
170,75,2,MB75,201710,MRTG,0.6880090283,Stage 1,1107462,47124,0.158,0.27
171,76,2,MB76,201710,MRTG,0.8962705616,Stage 2,1034174,143454,0.317,0.44
172,77,2,MB77,201710,MRTG,0.7419125193,Stage 1,945256,28140,0.102,0.29
173,78,2,MB78,201710,MRTG,0.9163862022,Stage 2,502231,32338,0.547,0.12
174,79,2,MB79,201710,MRTG,0.7572657785,Stage 1,1159579,21604,0.111,0.17
175,80,2,MB80,201710,MRTG,0.9808841145,Stage 3,1122872,118372,1.000,0.11
176,81,2,MB81,201710,MRTG,0.8054907627,Stage 2,1320236,41028,0.104,0.30
177,82,2,MB82,201710,MRTG,0.391972336,Stage 1,522812,6151,0.034,0.35
178,83,2,MB83,201710,MRTG,0.7848821843,Stage 1,1049927,4898,0.015,0.30
179,84,2,MB84,201710,MRTG,0.5895392421,Stage 1,728644,25229,0.092,0.38
180,85,2,MB85,201710,MRTG,0.2436676226,Stage 1,1137476,84,0.002,0.05
181,86,2,MB86,201710,MRTG,0.3624076957,Stage 1,929390,9351,0.131,0.08
182,87,2,MB87,201710,MRTG,0.7374938041,Stage 1,996496,18909,0.107,0.18
183,88,2,MB88,201710,MRTG,0.8985992688,Stage 2,699589,1517,0.302,0.01
184,89,2,MB89,201710,MRTG,0.4926707186,Stage 1,1034229,62078,0.152,0.40
185,90,2,MB90,201710,MRTG,0.7744567616,Stage 1,1157673,10873,0.048,0.19
186,91,2,MB91,201710,MRTG,0.9701791192,Stage 3,671813,58530,1.000,0.09
187,92,2,MB92,201710,MRTG,0.07167938098,Stage 1,1034829,28907,0.062,0.45
188,93,2,MB93,201710,MRTG,0.6612901904,Stage 1,1406029,62575,0.177,0.25
189,94,2,MB94,201710,MRTG,0.8346755698,Stage 2,620275,71069,0.389,0.29
190,95,2,MB95,201710,MRTG,0.6727620762,Stage 1,588607,5073,0.057,0.15
191,96,2,MB96,201710,MRTG,0.3437944653,Stage 1,858982,6201,0.167,0.04
192,97,2,MB97,201710,MRTG,0.9726918267,Stage 3,1078165,286428,1.000,0.27
193,98,2,MB98,201710,MRTG,0.1292505112,Stage 1,1352128,9693,0.069,0.10
194,99,2,MB99,201710,MRTG,0.4275659589,Stage 1,788044,25727,0.123,0.27
195,100,2,MB100,201710,MRTG,0.1228192511,Stage 1,759318,2019,0.011,0.25
196,101,2,MB101,201710,MRTG,0.3428433001,Stage 1,1497630,24400,0.076,0.22
197,102,2,MB102,201710,MRTG,0.8171945486,Stage 2,750736,94031,0.392,0.32
198,103,2,MB103,201710,MRTG,0.265123487,Stage 1,1342777,28367,0.071,0.30
199,104,2,MB104,201710,MRTG,0.1444236266,Stage 1,598643,2399,0.143,0.03
200,105,2,MB105,201710,MRTG,0.4708278559,Stage 1,770781,13838,0.147,0.12
201,11,3,MB11,201711,MRTG,0.003865302175,Stage 1,1138159,36331,0.094,0.34
202,12,3,MB12,201711,MRTG,0.2771999704,Stage 1,695829,4273,0.093,0.07
203,13,3,MB13,201711,MRTG,0.8660607905,Stage 2,839853,74334,0.192,0.46
204,14,3,MB14,201711,MRTG,0.004796750468,Stage 1,1271364,5583,0.026,0.17
205,15,3,MB15,201711,MRTG,0.6918079814,Stage 1,1309991,10097,0.024,0.32
206,16,3,MB16,201711,MRTG,0.8005874878,Stage 2,1396398,9001,0.041,0.16
207,17,3,MB17,201711,MRTG,0.9662496759,Stage 3,622153,136145,1.000,0.22
208,18,3,MB18,201711,MRTG,0.3170383777,Stage 1,1474175,41540,0.090,0.31
209,19,3,MB19,201711,MRTG,0.0272152846,Stage 1,1456407,19887,0.048,0.28
210,20,3,MB20,201711,MRTG,0.42048023,Stage 1,1364895,46341,0.092,0.37
211,21,3,MB21,201711,MRTG,0.02730709289,Stage 1,1314345,51626,0.144,0.27
212,22,3,MB22,201711,MRTG,0.1726180504,Stage 1,1131611,10121,0.096,0.09
213,23,3,MB23,201711,MRTG,0.9128358228,Stage 2,841273,46749,0.141,0.39
214,24,3,MB24,201711,MRTG,0.558842281,Stage 1,1422161,11583,0.050,0.16
215,25,3,MB25,201711,MRTG,0.2228491382,Stage 1,1037125,19674,0.191,0.10
216,26,3,MB26,201711,MRTG,0.1082698555,Stage 1,903471,28499,0.070,0.45
217,27,3,MB27,201711,MRTG,0.4419513487,Stage 1,1407585,35765,0.065,0.39
218,28,3,MB28,201711,MRTG,0.211030675,Stage 1,1451505,16001,0.042,0.26
219,29,3,MB29,201711,MRTG,0.1057956674,Stage 1,694248,11570,0.157,0.11
220,30,3,MB30,201711,MRTG,0.6516976336,Stage 1,1074803,1039,0.020,0.05
221,31,3,MB31,201711,MRTG,0.02308195155,Stage 1,1040926,73247,0.154,0.46
222,32,3,MB32,201711,MRTG,0.4730382981,Stage 1,1227307,6644,0.054,0.10
223,33,3,MB33,201711,MRTG,0.3982754223,Stage 1,1381453,37333,0.143,0.19
224,34,3,MB34,201711,MRTG,0.6061692609,Stage 1,1052271,29004,0.060,0.46
225,35,3,MB35,201711,MRTG,0.5113682179,Stage 1,567428,1132,0.098,0.02
226,36,3,MB36,201711,MRTG,0.8620727616,Stage 2,640186,16168,0.110,0.23
227,37,3,MB37,201711,MRTG,0.02174347517,Stage 1,652455,3115,0.042,0.11
228,38,3,MB38,201711,MRTG,0.501264973,Stage 1,916406,4022,0.025,0.18
229,39,3,MB39,201711,MRTG,0.1401174604,Stage 1,688619,22834,0.102,0.33
230,40,3,MB40,201711,MRTG,0.07478877998,Stage 1,776293,12583,0.067,0.24
231,41,3,MB41,201711,MRTG,0.4737871147,Stage 1,1012881,31504,0.095,0.33
232,42,3,MB42,201711,MRTG,0.967866588,Stage 3,1425282,567662,1.000,0.40
233,43,3,MB43,201711,MRTG,0.5547906413,Stage 1,962840,44909,0.123,0.38
234,44,3,MB44,201711,MRTG,0.750343283,Stage 1,1067055,6692,0.019,0.33
235,45,3,MB45,201711,MRTG,0.05750984362,Stage 1,1185854,4301,0.009,0.41
236,46,3,MB46,201711,MRTG,0.2339516338,Stage 1,514562,6848,0.056,0.24
237,47,3,MB47,201711,MRTG,0.7917461465,Stage 1,631334,14177,0.067,0.34
238,48,3,MB48,201711,MRTG,0.009544022008,Stage 1,515760,734,0.033,0.04
239,49,3,MB49,201711,MRTG,0.4000473946,Stage 1,1147096,2653,0.105,0.02
240,50,3,MB50,201711,MRTG,0.1574824777,Stage 1,519554,2243,0.013,0.33
241,51,3,MB51,201711,MRTG,0.6153445075,Stage 1,556880,31958,0.133,0.43
242,52,3,MB52,201711,MRTG,0.02671392317,Stage 1,828648,40221,0.166,0.29
243,53,3,MB53,201711,MRTG,0.1586840038,Stage 1,662713,4858,0.039,0.19
244,54,3,MB54,201711,MRTG,0.2136574401,Stage 1,1056770,154,0.001,0.17
245,55,3,MB55,201711,MRTG,0.2295582919,Stage 1,793781,34592,0.102,0.43
246,56,3,MB56,201711,MRTG,0.6574952725,Stage 1,1130708,82217,0.195,0.37
247,57,3,MB57,201711,MRTG,0.8062008778,Stage 2,1079450,23265,0.509,0.04
248,58,3,MB58,201711,MRTG,0.6360171655,Stage 1,745719,48411,0.149,0.44
249,59,3,MB59,201711,MRTG,0.01401990283,Stage 1,1340274,23368,0.067,0.26
250,60,3,MB60,201711,MRTG,0.1936687357,Stage 1,830179,3991,0.180,0.03
251,61,3,MB61,201711,MRTG,0.9115029565,Stage 2,1415058,23896,0.571,0.03
252,62,3,MB62,201711,MRTG,0.474376293,Stage 1,726021,21802,0.124,0.24
253,63,3,MB63,201711,MRTG,0.5994791206,Stage 1,1437897,10666,0.035,0.21
254,64,3,MB64,201711,MRTG,0.6451647804,Stage 1,1110800,42680,0.089,0.43
255,65,3,MB65,201711,MRTG,0.3872342752,Stage 1,1375511,2843,0.016,0.13
256,66,3,MB66,201711,MRTG,0.6772770182,Stage 1,1230624,62077,0.121,0.42
257,67,3,MB67,201711,MRTG,0.2939315995,Stage 1,1377063,2209,0.057,0.03
258,68,3,MB68,201711,MRTG,0.5597956507,Stage 1,1477112,88807,0.158,0.38
259,69,3,MB69,201711,MRTG,0.7630062119,Stage 1,786170,13307,0.071,0.24
260,70,3,MB70,201711,MRTG,0.43263754,Stage 1,1312803,339,0.012,0.02
261,71,3,MB71,201711,MRTG,0.5982180725,Stage 1,1144085,47979,0.193,0.22
262,72,3,MB72,201711,MRTG,0.2828381055,Stage 1,755690,2302,0.029,0.11
263,73,3,MB73,201711,MRTG,0.6610268242,Stage 1,1065573,33058,0.125,0.25
264,74,3,MB74,201711,MRTG,0.9074949838,Stage 2,1192800,88140,0.150,0.49
265,75,3,MB75,201711,MRTG,0.3086836915,Stage 1,1402101,14468,0.051,0.20
266,76,3,MB76,201711,MRTG,0.7314486856,Stage 1,963963,41501,0.136,0.32
267,77,3,MB77,201711,MRTG,0.3003337109,Stage 1,793405,37140,0.183,0.26
268,78,3,MB78,201711,MRTG,0.2162193952,Stage 1,589366,72,0.004,0.03
269,79,3,MB79,201711,MRTG,0.4945253044,Stage 1,1236857,21176,0.189,0.09
270,80,3,MB80,201711,MRTG,0.2129948395,Stage 1,1498280,25639,0.172,0.10
271,81,3,MB81,201711,MRTG,0.03649704794,Stage 1,1128296,73640,0.149,0.44
272,82,3,MB82,201711,MRTG,0.9163009888,Stage 2,832136,107287,0.294,0.44
273,83,3,MB83,201711,MRTG,0.4587443938,Stage 1,817998,61884,0.157,0.48
274,84,3,MB84,201711,MRTG,0.5517364476,Stage 1,1164246,4241,0.181,0.02
275,85,3,MB85,201711,MRTG,0.6555729002,Stage 1,816437,35349,0.143,0.30
276,86,3,MB86,201711,MRTG,0.5817906316,Stage 1,512670,1203,0.111,0.02
277,87,3,MB87,201711,MRTG,0.6441614761,Stage 1,627517,11534,0.081,0.23
278,88,3,MB88,201711,MRTG,0.8048943783,Stage 2,674812,82555,0.298,0.41
279,89,3,MB89,201711,MRTG,0.3842518849,Stage 1,798616,5466,0.156,0.04
280,90,3,MB90,201711,MRTG,0.03669889941,Stage 1,925189,2994,0.023,0.14
281,91,3,MB91,201711,MRTG,0.3297375488,Stage 1,1189219,5530,0.013,0.36
282,92,3,MB92,201711,MRTG,0.146993865,Stage 1,1375447,1438,0.002,0.50
283,93,3,MB93,201711,MRTG,0.3525614258,Stage 1,971128,68451,0.144,0.49
284,94,3,MB94,201711,MRTG,0.6441366644,Stage 1,572401,365,0.067,0.01
285,95,3,MB95,201711,MRTG,0.8774872232,Stage 2,1296566,3232,0.008,0.31
286,96,3,MB96,201711,MRTG,0.08047239516,Stage 1,1120720,23917,0.097,0.22
287,97,3,MB97,201711,MRTG,0.5511445118,Stage 1,1485101,5543,0.048,0.08
288,98,3,MB98,201711,MRTG,0.6417058924,Stage 1,567524,146,0.001,0.39
289,99,3,MB99,201711,MRTG,0.2365565238,Stage 1,580949,48303,0.177,0.47
290,100,3,MB100,201711,MRTG,0.990892877,Stage 3,1422956,461708,1.000,0.32
291,101,3,MB101,201711,MRTG,0.1620517208,Stage 1,1079156,16918,0.053,0.30
292,102,3,MB102,201711,MRTG,0.8896263884,Stage 2,850489,29422,0.142,0.24
293,103,3,MB103,201711,MRTG,0.3885784727,Stage 1,888463,87113,0.199,0.49
294,104,3,MB104,201711,MRTG,0.2067049311,Stage 1,1221111,40202,0.070,0.47
295,105,3,MB105,201711,MRTG,0.5101471627,Stage 1,1331893,38442,0.141,0.21
296,106,3,MB106,201711,MRTG,0.5553107421,Stage 1,754496,19072,0.191,0.13
297,107,3,MB107,201711,MRTG,0.4272075244,Stage 1,1340425,13423,0.026,0.39
298,108,3,MB108,201711,MRTG,0.1463485784,Stage 1,876848,61173,0.167,0.42
299,109,3,MB109,201711,MRTG,0.7816435603,Stage 1,1393564,100303,0.149,0.48
300,110,3,MB110,201711,MRTG,0.1965759558,Stage 1,608503,44664,0.151,0.48
301,16,4,MB16,201712,MRTG,0.004773951621,Stage 1,1141421,27206,0.050,0.47
302,17,4,MB17,201712,MRTG,0.8395957143,Stage 2,1294820,2884,0.083,0.03
303,18,4,MB18,201712,MRTG,0.08694505211,Stage 1,710399,3090,0.010,0.44
304,19,4,MB19,201712,MRTG,0.425407263,Stage 1,741875,11605,0.105,0.15
305,20,4,MB20,201712,MRTG,0.9502878081,Stage 3,1168342,432553,1.000,0.37
306,21,4,MB21,201712,MRTG,0.09537710868,Stage 1,1385429,11822,0.048,0.18
